feature_accum_x,failure_rate
0.0,0.0
100.0,0.00022336385972749609
200.0,0.0001478633742422002
300.0,0.00011026574043444702
400.0,8.765010079761592e-05
500.0,7.138777841233581e-05
600.0,6.103888176768602e-05
700.0,0.00010653598252809886
800.0,9.454029780193807e-05
900.0,8.505209440782479e-05
1000.0,0.00011542012927054478
1100.0,0.0001057194206575748
1200.0,9.749439407234084e-05
1300.0,9.043499231302565e-05
1400.0,8.455706192395502e-05
1500.0,7.942811755361398e-05
1600.0,7.474958887726118e-05
1700.0,7.071635669330315e-05
1800.0,6.697475051905432e-05
1900.0,6.341958396752917e-05
2000.0,6.0336678666961645e-05
2100.0,5.753188225141433e-05
2200.0,5.496317467296911e-05
2300.0,5.2597436751582306e-05
2400.0,5.029253491140132e-05
2500.0,4.8106989945639104e-05
2600.0,4.6075163950791726e-05
2700.0,4.3961196916854724e-05
2800.0,4.1955694786305665e-05
2900.0,4.011338717441301e-05
3000.0,3.844182470527934e-05
3100.0,3.692307692307692e-05
3200.0,3.53873737850335e-05
3300.0,3.391401666308685e-05
3400.0,3.236699860821906e-05
3500.0,3.090107535742244e-05
3600.0,2.9577631423275623e-05
3700.0,2.835833593284746e-05
3800.0,2.7224465719860248e-05
3900.0,2.602178891124835e-05
4000.0,2.4796052468447025e-05
4100.0,2.3595293525451456e-05
4200.0,2.237370046089823e-05
4300.0,2.1280670766742568e-05
4400.0,2.028850250563006e-05
4500.0,1.9323049177160155e-05
4600.0,1.8385845350526143e-05
4700.0,1.7498527207293386e-05
4800.0,1.668483459767302e-05
4900.0,1.586915353935021e-05
5000.0,1.5118605459832384e-05
5100.0,1.4426614217909199e-05
5200.0,1.3755725820872939e-05
5300.0,1.3132608705168558e-05
5400.0,1.2555558345679632e-05
5500.0,1.203359780507176e-05
5600.0,1.1551034395130083e-05
5700.0,1.1106874044346045e-05
5800.0,1.0680527618064332e-05
5900.0,1.3697551220280595e-05
6000.0,1.3180787683871988e-05
6100.0,1.2695188523549574e-05
6200.0,1.2240239174273465e-05
6300.0,1.1815093782306896e-05
6400.0,1.7106542397139788e-05
6500.0,1.6511140892317092e-05
6600.0,1.595659805329504e-05
6700.0,1.5405986252724934e-05
6800.0,1.4876414189123853e-05
6900.0,1.4348265892498009e-05
7000.0,1.3824852938126871e-05
7100.0,1.33064247854339e-05
7200.0,1.2808880824037999e-05
7300.0,1.2345297984630104e-05
7400.0,1.391094214836616e-05
7500.0,1.3453776667307322e-05
7600.0,1.4881644421708599e-05
7700.0,1.620909005770436e-05
7800.0,1.5677721783149236e-05
7900.0,1.5193617330177562e-05
8000.0,1.638044567916604e-05
8100.0,1.5903611392074914e-05
8200.0,1.543621985499215e-05
8300.0,1.796926357465555e-05
8400.0,1.7442392863735667e-05
8500.0,1.6952217350029382e-05
8600.0,1.6485577180664068e-05
8700.0,1.7367930250392113e-05
8800.0,1.6896546345926893e-05
8900.0,1.6444372482746057e-05
9000.0,1.601450667928117e-05
9100.0,1.5615277987983444e-05
9200.0,1.5238613239307183e-05
9300.0,1.4868629935813269e-05
9400.0,1.4507892293407614e-05
9500.0,1.4157564985945895e-05
9600.0,1.3824727971891137e-05
9700.0,1.4547449624260158e-05
9800.0,1.5245467268489957e-05
9900.0,1.491108519895861e-05
10000.0,1.4582758124540644e-05
10100.0,1.5211048545110742e-05
10200.0,1.673890745151064e-05
10300.0,1.6372909384133014e-05
10400.0,1.603253535842069e-05
10500.0,1.6571916010040837e-05
10600.0,1.7085766275260238e-05
10700.0,1.67343711432504e-05
10800.0,1.721458222668162e-05
10900.0,1.7678947106197436e-05
11000.0,1.8130765386319313e-05
11100.0,1.779168107406058e-05
11200.0,1.82172866869587e-05
11300.0,1.7882729530421878e-05
11400.0,1.8294753357453136e-05
11500.0,1.7984149490005487e-05
11600.0,1.839439565213085e-05
11700.0,1.879026858949109e-05
11800.0,1.84771413809268e-05
11900.0,1.884682979495322e-05
12000.0,1.9210323230248974e-05
12100.0,1.892055000081554e-05
12200.0,1.9290793276001094e-05
12300.0,2.0284592837510268e-05
12400.0,1.9994239159842072e-05
12500.0,1.9708717473687322e-05
12600.0,1.943660568836561e-05
12700.0,1.9187090925225507e-05
12800.0,1.89509803282902e-05
12900.0,1.9310339984867716e-05
13000.0,1.9085238724527713e-05
13100.0,1.9419261279877818e-05
13200.0,1.9710880800419447e-05
13300.0,1.9448366531695004e-05
13400.0,1.9744863456042176e-05
13500.0,1.9990318202643478e-05
13600.0,2.02226944398766e-05
13700.0,1.9922720814524713e-05
13800.0,1.959774089620469e-05
13900.0,1.9791006966434452e-05
14000.0,1.9487927229081583e-05
14100.0,1.96846712512266e-05
14200.0,1.9357795456822195e-05
14300.0,1.9457487288565927e-05
14400.0,1.9547412248408514e-05
14500.0,1.9643035790068024e-05
14600.0,2.0189702444165378e-05
14700.0,1.983841828731849e-05
14800.0,1.9927964739632478e-05
14900.0,1.9588788740023557e-05
15000.0,1.9686803893463395e-05
15100.0,1.9785916384717357e-05
15200.0,1.9886492769433567e-05
15300.0,1.9586861133551614e-05
15400.0,1.968251318925209e-05
15500.0,1.9782915474196485e-05
15600.0,1.9885239225164004e-05
15700.0,2.037788139469239e-05
15800.0,2.0865291072673435e-05
15900.0,2.0972876551440947e-05
16000.0,2.071601827952378e-05
16100.0,2.1540667523745894e-05
16200.0,2.1285155094282595e-05
16300.0,2.1390561852913587e-05
16400.0,2.1495519570977164e-05
16500.0,2.159785008829407e-05
16600.0,2.1360682239847233e-05
16700.0,2.1462933681211717e-05
16800.0,2.1235289999406077e-05
16900.0,2.135183387616265e-05
17000.0,2.1788837546004528e-05
17100.0,2.2219538703055185e-05
17200.0,2.2001526714636372e-05
17300.0,2.2103955534419965e-05
17400.0,2.2834478185253305e-05
17500.0,2.2635069350131655e-05
17600.0,2.274035401814373e-05
17700.0,2.2842196664003773e-05
17800.0,2.3243402496039567e-05
17900.0,2.3040247422334915e-05
18000.0,2.3137511869098637e-05
18100.0,2.3238246741938977e-05
18200.0,2.3047282521174327e-05
18300.0,2.34400773233168e-05
18400.0,2.4111221620876873e-05
18500.0,2.3913018104716815e-05
18600.0,2.4003854171785136e-05
18700.0,2.410053172498715e-05
18800.0,2.391988507329637e-05
18900.0,2.4016649335111486e-05
19000.0,2.4390952436546527e-05
19100.0,2.421370087373371e-05
19200.0,2.4042065510576484e-05
19300.0,2.3877400014058154e-05
19400.0,2.3983997876616723e-05
19500.0,2.4616974436198492e-05
19600.0,2.4454841111901147e-05
19700.0,2.428955024371821e-05
19800.0,2.4648819191830085e-05
19900.0,2.4490380951742605e-05
20000.0,2.4593219188346913e-05
20100.0,2.4436627551941196e-05
20200.0,2.4535557081088245e-05
20300.0,2.463226912714549e-05
20400.0,2.4475359431891943e-05
20500.0,2.482200142776152e-05
20600.0,2.4675060299678608e-05
20700.0,2.452999306782396e-05
20800.0,2.4626374017566163e-05
20900.0,2.4474755985471204e-05
21000.0,2.457008967360081e-05
21100.0,2.4907703785132735e-05
21200.0,2.5003196837309914e-05
21300.0,2.485901387843232e-05
21400.0,2.4956978642241477e-05
21500.0,2.4811514415255805e-05
21600.0,2.4669865991426057e-05
21700.0,2.476943590503352e-05
21800.0,2.4632214562703373e-05
21900.0,2.4516037383520183e-05
22000.0,2.4411840061837246e-05
22100.0,2.4528128767225333e-05
22200.0,2.465487696085439e-05
22300.0,2.4573143087608666e-05
22400.0,2.4500642074165916e-05
22500.0,2.4436333375256218e-05
22600.0,2.4381542054245577e-05
22700.0,2.4550217693475802e-05
22800.0,2.4719968411889015e-05
22900.0,2.4670981347182274e-05
23000.0,2.465534164640375e-05
