feature_accum_x,failure_rate
0.0,0.0
100.0,0.0
200.0,0.0
300.0,5.23875631924981e-05
400.0,5.522929361733463e-05
500.0,4.053177691309987e-05
600.0,3.1901318587834965e-05
700.0,2.63100197325148e-05
800.0,2.236769508358062e-05
900.0,1.944314823456214e-05
1000.0,1.7111372217976065e-05
1100.0,1.5223635201104221e-05
1200.0,1.7828092616941144e-05
1300.0,1.5154155648332663e-05
1400.0,1.6268098259313488e-05
1500.0,1.4224022667402523e-05
1600.0,1.513313374411384e-05
1700.0,1.5822105289329798e-05
1800.0,1.62321193060769e-05
1900.0,1.474056603773585e-05
2000.0,1.3504434518685073e-05
2100.0,1.2454230702169528e-05
2200.0,1.1538417159934e-05
2300.0,1.0779419393522916e-05
2400.0,1.0105373785144596e-05
2500.0,1.0702882048293783e-05
2600.0,1.0132932819781287e-05
2700.0,9.592469272123431e-06
2800.0,9.10671245656604e-06
2900.0,8.665703168855078e-06
3000.0,8.257304962456786e-06
3100.0,7.890258774186931e-06
3200.0,7.562662964883195e-06
3300.0,8.073507672658017e-06
3400.0,7.759053457550606e-06
3500.0,8.956848144850149e-06
3600.0,8.629548581122431e-06
3700.0,9.020079390575682e-06
3800.0,9.400553558310962e-06
3900.0,9.120634066480302e-06
4000.0,8.853581368523369e-06
4100.0,8.604148920609518e-06
4200.0,8.36862101862855e-06
4300.0,8.147739467882775e-06
4400.0,7.939870228492451e-06
4500.0,8.293510659649251e-06
4600.0,8.078536298479297e-06
4700.0,8.391796180054379e-06
4800.0,8.172050260152113e-06
4900.0,7.95091107502281e-06
5000.0,7.751254492094205e-06
5100.0,8.028335301062574e-06
5200.0,9.208438060132021e-06
5300.0,9.88173361541191e-06
5400.0,1.0519962285935204e-05
5500.0,1.0694061715857925e-05
5600.0,1.0410129972554734e-05
5700.0,1.0558508553813266e-05
5800.0,1.1096878923539333e-05
5900.0,1.1225786172773366e-05
6000.0,1.0976254576435798e-05
6100.0,1.0749372088402836e-05
6200.0,1.0533637719140528e-05
6300.0,1.032306935465154e-05
6400.0,1.0119320749318254e-05
6500.0,1.0264702732498083e-05
6600.0,1.0072640525926137e-05
6700.0,9.895425147046018e-06
6800.0,1.0704078610753318e-05
6900.0,1.116965071863937e-05
7000.0,1.099054310867826e-05
7100.0,1.1112771167050881e-05
7200.0,1.1213371672962319e-05
7300.0,1.1606251662818748e-05
7400.0,1.198913491958361e-05
7500.0,1.1783793260532484e-05
7600.0,1.1884358401689616e-05
7700.0,1.171810916590499e-05
7800.0,1.1832144248697364e-05
7900.0,1.2212686375771333e-05
8000.0,1.2317714560529383e-05
8100.0,1.2942087854590096e-05
8200.0,1.2759054371798845e-05
8300.0,1.3103752169506028e-05
8400.0,1.2934628892816057e-05
8500.0,1.2772111718412501e-05
8600.0,1.2862910317562993e-05
8700.0,1.294984524934927e-05
8800.0,1.3033309760742224e-05
8900.0,1.3353532140401899e-05
9000.0,1.3432890692090808e-05
9100.0,1.421021047884216e-05
9200.0,1.4280130557245244e-05
9300.0,1.4351967654765468e-05
9400.0,1.4419188334876637e-05
9500.0,1.4710871200081668e-05
9600.0,1.499298636917054e-05
9700.0,1.5487777743845244e-05
9800.0,1.5542521424394376e-05
9900.0,1.5811411736853665e-05
10000.0,1.609752388311249e-05
10100.0,1.6394710645968415e-05
10200.0,1.6695142318784143e-05
10300.0,1.658257917145143e-05
10400.0,1.6884618956361702e-05
10500.0,1.718265075935043e-05
10600.0,1.707047137668068e-05
10700.0,1.7562810768385082e-05
10800.0,1.8047055893536807e-05
10900.0,1.8130379343321645e-05
11000.0,1.8611897001761993e-05
11100.0,1.8511403516890965e-05
11200.0,1.8809123835744623e-05
11300.0,1.8714033965971648e-05
11400.0,1.8623129927369795e-05
11500.0,1.853575276395105e-05
11600.0,1.883384303221798e-05
11700.0,1.9128556524693246e-05
11800.0,1.9038966290748625e-05
11900.0,1.9140943102693813e-05
12000.0,1.9051524565243268e-05
12100.0,1.9151627944703617e-05
12200.0,1.9064975117403797e-05
12300.0,1.9164505698091307e-05
12400.0,1.907594280995305e-05
12500.0,1.8987655627342004e-05
12600.0,1.9084739915366518e-05
12700.0,1.918273159540221e-05
12800.0,1.946221710667041e-05
12900.0,1.9738438526534618e-05
13000.0,1.983068918134949e-05
13100.0,1.9925550245865134e-05
13200.0,1.9837216870641508e-05
13300.0,1.9929314990296916e-05
13400.0,2.0021609163305814e-05
13500.0,1.993547609709953e-05
13600.0,2.003356852859941e-05
13700.0,1.996531988908389e-05
13800.0,2.0249328586378662e-05
13900.0,2.0354219081680262e-05
14000.0,2.0459116443581386e-05
14100.0,2.05622443326826e-05
14200.0,2.083697478123329e-05
14300.0,2.1131961886187378e-05
14400.0,2.109502382108401e-05
14500.0,2.105915207635535e-05
14600.0,2.1195298609280738e-05
14700.0,2.116089705138258e-05
14800.0,2.1124918971454953e-05
14900.0,2.1089303335273323e-05
15000.0,2.1393788330537425e-05
15100.0,2.1527189688103226e-05
15200.0,2.1661893716595414e-05
15300.0,2.1630935346993158e-05
15400.0,2.1763839397711896e-05
15500.0,2.1895920604718166e-05
15600.0,2.185975387262355e-05
15700.0,2.1992068417828483e-05
15800.0,2.2299729150507745e-05
15900.0,2.2281692188976895e-05
16000.0,2.22630992812032e-05
16100.0,2.2244392280694127e-05
16200.0,2.2225772404079917e-05
16300.0,2.2211022077755946e-05
16400.0,2.2195606037672117e-05
16500.0,2.21788576454191e-05
16600.0,2.216197940802187e-05
16700.0,2.2145171087264627e-05
16800.0,2.2295115789018323e-05
16900.0,2.2291929789071765e-05
17000.0,2.2291929789071765e-05
17100.0,2.2291929789071765e-05
17200.0,2.2291859329051633e-05
17300.0,2.2291558951857554e-05
17400.0,2.2291251166339812e-05
17500.0,2.229092114070961e-05
17600.0,2.229062449679747e-05
17700.0,2.229031673708355e-05
17800.0,2.22900089858678e-05
17900.0,2.2289460245749616e-05
18000.0,2.22888447991143e-05
18100.0,2.2288233093668296e-05
18200.0,2.228760288681008e-05
18300.0,2.2286972715589455e-05
18400.0,2.228637223264378e-05
18500.0,2.2285768075670493e-05
18600.0,2.228516024526981e-05
18700.0,2.2284530212168684e-05
18800.0,2.2283889097407703e-05
18900.0,2.2283266547279355e-05
19000.0,2.2282666264026647e-05
19100.0,2.2282066013114826e-05
19200.0,2.2281443564844738e-05
19300.0,2.228080633240469e-05
19400.0,2.2280172840934863e-05
19500.0,2.227947641235254e-05
19600.0,2.2278591121848433e-05
19700.0,2.2277691086895298e-05
19800.0,2.2276717056933136e-05
19900.0,2.2275806064172606e-05
20000.0,2.2274917362550046e-05
20100.0,2.227400651697537e-05
20200.0,2.2439342716746183e-05
20300.0,2.2438440139477342e-05
20400.0,2.243753017640054e-05
20500.0,2.2436620287125585e-05
20600.0,2.24357142002449e-05
20700.0,2.2434838012991268e-05
20800.0,2.24339208860302e-05
20900.0,2.2433048566553123e-05
21000.0,2.243219867949124e-05
21100.0,2.2431311585373655e-05
21200.0,2.2430391019868344e-05
21300.0,2.2429466803392264e-05
21400.0,2.2428598556495397e-05
21500.0,2.242771174708718e-05
21600.0,2.2426791477021843e-05
21700.0,2.2425867557145263e-05
21800.0,2.2424980963682826e-05
21900.0,2.2424098165060964e-05
22000.0,2.2423207987047027e-05
22100.0,2.242227318998691e-05
22200.0,2.2421401776073973e-05
22300.0,2.2420500641475435e-05
22400.0,2.241960330255703e-05
