feature_accum_x,failure_rate
0.0,0.0
100.0,0.0
200.0,0.0
300.0,0.00042498937526561835
400.0,0.0003455425017277125
500.0,0.00028793550244745177
600.0,0.00024764735017335313
700.0,0.0002190100744634253
800.0,0.00019611688566385565
900.0,0.00017733640716439085
1000.0,0.00016215339711366953
1100.0,0.00014934289127837514
1200.0,0.0001383891502906172
1300.0,0.00012953367875647668
1400.0,0.0001220703125
1500.0,0.0001155001155001155
1600.0,0.00010958904109589041
1700.0,0.00010428616122640526
1800.0,9.952229299363058e-05
1900.0,9.521995810321844e-05
2000.0,9.139932364500503e-05
2100.0,8.791208791208791e-05
2200.0,8.45880561664693e-05
2300.0,8.173273395995096e-05
2400.0,7.890168849613381e-05
2500.0,7.641170627340109e-05
2600.0,7.416196974191635e-05
2700.0,7.208246233691343e-05
2800.0,7.011147724882563e-05
2900.0,6.827802813054759e-05
3000.0,6.644959797993223e-05
3100.0,6.477942605428517e-05
3200.0,6.326711375427053e-05
3300.0,6.180851721367204e-05
3400.0,6.0459492140266024e-05
3500.0,5.9199621122424815e-05
3600.0,5.793407102717108e-05
3700.0,5.675046819136258e-05
3800.0,5.5710306406685235e-05
3900.0,4.516507836141096e-05
4000.0,3.641395382710655e-05
4100.0,6.06134076857801e-05
4200.0,5.168492867479843e-05
4300.0,4.370438354967003e-05
4400.0,3.585193152281079e-05
4500.0,3.0304866961634037e-05
4600.0,2.6169104754926335e-05
4700.0,2.3005958543262705e-05
4800.0,2.0615581256313523e-05
4900.0,1.8642803877703206e-05
5000.0,1.7036500702755656e-05
5100.0,1.5118414985372934e-05
5200.0,1.355950589160531e-05
5300.0,1.2221726563311599e-05
5400.0,1.0861773075836899e-05
5500.0,9.790915009962257e-06
5600.0,8.921601427456228e-06
5700.0,8.196150268219018e-06
5800.0,7.568303943086355e-06
5900.0,7.020056300851533e-06
6000.0,6.549882265866271e-06
6100.0,6.143581646664189e-06
6200.0,8.689028363884923e-06
6300.0,8.216904363450113e-06
6400.0,7.783352964679145e-06
6500.0,7.3874157834600684e-06
6600.0,7.036224830837428e-06
6700.0,6.716879069309236e-06
6800.0,6.433557435584006e-06
6900.0,1.028487033863964e-05
7000.0,9.869174226454124e-06
7100.0,9.484768410409723e-06
7200.0,1.0956982885192733e-05
7300.0,1.0570619667342599e-05
7400.0,1.0218905997986875e-05
7500.0,9.88332732097588e-06
7600.0,9.58056295387917e-06
7700.0,9.279450656521134e-06
7800.0,8.994504357837362e-06
7900.0,1.0189020893315129e-05
8000.0,9.907856930545924e-06
8100.0,9.651697802584173e-06
8200.0,9.388525344324167e-06
8300.0,9.136639752736423e-06
8400.0,8.900032294402896e-06
8500.0,9.919404835709858e-06
8600.0,9.684092788135049e-06
8700.0,9.457013735130323e-06
8800.0,9.23525187995096e-06
8900.0,9.022380013623794e-06
9000.0,8.822504444336615e-06
9100.0,8.631907414161076e-06
9200.0,8.45253163888249e-06
9300.0,8.278899568669332e-06
9400.0,8.110316525378194e-06
9500.0,7.945809578673447e-06
9600.0,7.787631294596358e-06
9700.0,7.640185465502175e-06
9800.0,7.498957176267675e-06
9900.0,7.335337714363783e-06
10000.0,7.1707526511617065e-06
10100.0,7.887181752216299e-06
10200.0,7.717127822217955e-06
10300.0,8.394832476920507e-06
10400.0,8.22152065245988e-06
10500.0,9.658484052635519e-06
10600.0,9.435712915289315e-06
10700.0,9.983734193060844e-06
10800.0,1.1255903721501928e-05
10900.0,1.1739302377282102e-05
11000.0,1.2206023313504528e-05
11100.0,1.192072298483684e-05
11200.0,1.161709243310434e-05
11300.0,1.1971770565007712e-05
11400.0,1.2956405582137781e-05
11500.0,1.3264685427985075e-05
11600.0,1.3550936739299688e-05
11700.0,1.4391534899172307e-05
11800.0,1.4599290357694292e-05
11900.0,1.4220761971179635e-05
12000.0,1.4419970549983223e-05
12100.0,1.462696366987268e-05
12200.0,1.4288314910227046e-05
12300.0,1.447891921073343e-05
12400.0,1.4150597736409741e-05
12500.0,1.383536606155058e-05
12600.0,1.4034992624369393e-05
12700.0,1.4721763420312044e-05
12800.0,1.4922234175553557e-05
12900.0,1.5113716980535822e-05
13000.0,1.5295844119152827e-05
13100.0,1.5935958693995066e-05
13200.0,1.569156656754827e-05
13300.0,1.5896290879782366e-05
13400.0,1.6515780192751858e-05
13500.0,1.6280838621822837e-05
13600.0,1.606313884441779e-05
13700.0,1.6240924368451354e-05
13800.0,1.6829680825103154e-05
13900.0,1.6634124510382467e-05
14000.0,1.7620482989185722e-05
14100.0,1.821408212070821e-05
14200.0,1.804389580763518e-05
14300.0,1.8633339607825242e-05
14400.0,1.9212114933652278e-05
14500.0,1.9781072051995107e-05
14600.0,1.9606399676827345e-05
14700.0,2.1267077830171383e-05
14800.0,2.1084208146210988e-05
14900.0,2.1620008885823653e-05
15000.0,2.179198726490554e-05
15100.0,2.231197380928433e-05
15200.0,2.2475619220868612e-05
15300.0,2.3678578616711367e-05
15400.0,2.347776879714759e-05
15500.0,2.3279172740362594e-05
15600.0,2.3423926216669282e-05
15700.0,2.3906609335699303e-05
15800.0,2.4382797902678568e-05
15900.0,2.485100991190814e-05
16000.0,2.4979457682826624e-05
16100.0,2.6082454463294815e-05
16200.0,2.587283630321153e-05
16300.0,2.5993271914333877e-05
16400.0,2.6115140380026247e-05
16500.0,2.59144563794913e-05
16600.0,2.6656012624287578e-05
16700.0,2.676415458104295e-05
16800.0,2.655987537859404e-05
16900.0,2.666892279622736e-05
17000.0,2.647479036987108e-05
17100.0,2.6585540487059185e-05
17200.0,2.6691666861605808e-05
17300.0,2.6793784318372082e-05
17400.0,2.718893055888029e-05
17500.0,2.7876592963889248e-05
17600.0,2.7975011321137393e-05
17700.0,2.835742508792972e-05
17800.0,2.815941446807728e-05
17900.0,2.8245678054620292e-05
18000.0,2.833249658026766e-05
18100.0,2.8993878632187035e-05
18200.0,2.880134398815286e-05
18300.0,2.944226898790256e-05
18400.0,3.007159522639635e-05
18500.0,2.9869928791733978e-05
18600.0,2.9951802104631448e-05
18700.0,3.0337060999703672e-05
18800.0,3.019050206804939e-05
18900.0,3.030413552223948e-05
19000.0,3.068040330590683e-05
19100.0,3.105440040853789e-05
19200.0,3.090012867130503e-05
19300.0,3.07689313739748e-05
19400.0,3.092525209322024e-05
19500.0,3.107332756953571e-05
19600.0,3.1217368094913284e-05
19700.0,3.1101691906121616e-05
19800.0,3.1256409501328524e-05
19900.0,3.118650742818791e-05
20000.0,3.1145823975643454e-05
20100.0,3.11058062714961e-05
20200.0,3.1322087334708593e-05
20300.0,3.153746689527484e-05
20400.0,3.152604512684235e-05
